,original,rotate_45,rotate_90,gaussian_noise,brightness_up,brightness_down,blur
VGG-Face,0.6190476190476191,0.23809523809523808,0.0,0.2857142857142857,0.6666666666666666,0.7142857142857143,0.7142857142857143
Facenet,0.5714285714285714,0.14285714285714285,0.0,0.0,0.6666666666666666,0.3333333333333333,0.5714285714285714
Facenet512,0.5714285714285714,0.19047619047619047,0.0,0.0,0.6190476190476191,0.47619047619047616,0.6190476190476191
OpenFace,0.047619047619047616,0.0,0.0,0.0,0.09523809523809523,0.047619047619047616,0.14285714285714285
DeepFace,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeepID,0.19047619047619047,0.09523809523809523,0.047619047619047616,0.23809523809523808,0.3333333333333333,0.19047619047619047,0.23809523809523808
ArcFace,0.6190476190476191,0.14285714285714285,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
Dlib,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SFace,0.6190476190476191,0.047619047619047616,0.0,0.0,0.5714285714285714,0.6666666666666666,0.6666666666666666
GhostFaceNet,0.5714285714285714,0.09523809523809523,0.0,0.0,0.5714285714285714,0.6666666666666666,0.6190476190476191
